BJP4 Self-Check 1.1: binaryNumbers 
BJP4 Self-Check 1.2: binary1 
BJP4 Self-Check 1.3: binary2 
BJP4 Self-Check 1.4: cookieRecipe 
BJP4 Self-Check 1.5: javaVsClass 
BJP4 Self-Check 1.6: legalIdentifiers 
BJP4 Self-Check 1.7: outputSyntax 
BJP4 Self-Check 1.8: confounding 
BJP4 Self-Check 1.9: Archie 
BJP4 Self-Check 1.10: Shaq 
BJP4 Self-Check 1.11: downwardSpiral 
BJP4 Self-Check 1.12: DoubleSlash 
BJP4 Self-Check 1.13: Sally 
BJP4 Self-Check 1.14: TestOfKnowledge 
BJP4 Self-Check 1.15: printlnSlashes 
BJP4 Self-Check 1.16: withoutPrintStatements 
BJP4 Self-Check 1.17: Commentary 
BJP4 Self-Check 1.18: MyProgram-errors 
BJP4 Self-Check 1.19: SecretMessage-errors 
BJP4 Self-Check 1.20: FamousSpeech-errors 
BJP4 Self-Check 1.21: methodHeaderSyntax 
BJP4 Self-Check 1.22: Tricky 
BJP4 Self-Check 1.23: Strange 
BJP4 Self-Check 1.24: Strange2 
BJP4 Self-Check 1.25: Strange3 
BJP4 Self-Check 1.26: Confusing 
BJP4 Self-Check 1.27: Confusing2 
BJP4 Self-Check 1.28: Confusing3 
BJP4 Self-Check 1.29: LotsOfErrors-errors 
BJP4 Self-Check 1.30: javaClub 
BJP4 Self-Check 1.31: GiveAdvice 
BJP4 Self-Check 1.32: Messy 
BJP4 Exercise 1.1: Stewie 
BJP4 Exercise 1.2: Spikey 
BJP4 Exercise 1.3: WellFormed 
BJP4 Exercise 1.4: Difference 
BJP4 Exercise 1.5: MuchBetter 
BJP4 Exercise 1.6: Meta 
BJP4 Exercise 1.7: Mantra 
BJP4 Exercise 1.8: Stewie2 
BJP4 Exercise 1.9: Egg 
BJP4 Exercise 1.10: Egg2 
BJP4 Exercise 1.11: TwoRockets 
BJP4 Exercise 1.12: FightSong 
BJP4 Exercise 1.13: StarFigures 
BJP4 Exercise 1.14: Lanterns 
BJP4 Exercise 1.15: EggStop 
BJP4 Exercise 1.16: Shining 
BJP4 Self-Check 2.1: legalIntLiterals 
BJP4 Self-Check 2.2: evaluatingExpressions 
BJP4 Self-Check 2.3: expressions1 
BJP4 Self-Check 2.4: expressions2 
